original_name,lake,county,notes,,,,,
All lakes in LA,,,,,,,,
Alondra,Alondra park,Los Angeles,,,,,,
Alondra park,Alondra park,Los Angeles,,,,,,
Alondra Park,Alondra park,Los Angeles,,,,,,
Alondra Park Lake,Alondra park,Los Angeles,,,,,,
Anaheim Lake,Anaheim lake,Orange,"Private lake, now closed",,,,,
Anaheim lake,Anaheim lake,Orange,"Private lake, now closed",,,,,
Apollo Community Regional Park,Apollo Community Regional Park lake,Los Angeles,,,,,,
Azusa Canyon,,,,,,,,
Azusa Wilderness Park,,,,,,,,
Balboa,Lake Balboa,Los Angeles,,,,,,
Bass lake,Bass lake,Madera,,,,,,
Belvedere,Belvedere Park,Los Angeles,,,,,,
Belvedere Park,Belvedere Park,Los Angeles,,,,,,
Big Bear Lake,Big Bear lake,San Bernardino,,,,,,
Big Bear lake,Big Bear lake,San Bernardino,,,,,,
Bonelli Regional Park,Puddingstone reservoir,Los Angeles,,,,,,
Buena Vista Lake,Lake Evans,Kern ,,,,,,
Cachuma,Cachuma lake,Santa Barbara,,,,,,
Cachuma Lake,Cachuma lake,Santa Barbara,,,,,,
Cachuma lake,Cachuma lake,Santa Barbara,,,,,,
Canyon Lake,Canyon Lake reservoir ,Riverside,,,,,,
Canyon Lake reservoirÂ ,Canyon Lake reservoir ,Riverside,,,,,,
Canyon Lake reservoir ,Canyon Lake reservoir ,Riverside,,,,,,
Carbon Canyon,Carbon Canyon Regional Park,Orange,,,,,,
Carbon Canyon Regional Park,Carbon Canyon Regional Park,Orange,,,,,,
carbon Canyon Regional Park,Carbon Canyon Regional Park,Orange,,,,,,
Castaic,Castaic Lake,Los Angeles,,,,,,
Castaic  lake,Castaic Lake,Los Angeles,,,,,,
Castaic Lake,Castaic Lake,Los Angeles,,,,,,
Castaic Lagoon,Castaic Lagoon,Los Angeles,,,,,,
Cerritos Lake,Cerritos Park Lake / Don Knabe,Los Angeles,,,,,,
Cerritos Park Lake,Cerritos Park Lake / Don Knabe,Los Angeles,,,,,,
Cerritos Park Lake / Don Knabe,Cerritos Park Lake / Don Knabe,Los Angeles,,,,,,
Copper,,,,,,,,
Craig Reegional Park,Craig Regional Park,Orange,,,,,,
Craig Regional Park,Craig Regional Park,Orange,,,,,,
Crestline,Lake Gregory Regional Park,San Bernardino,,,,,,
Crystal,Crystal Lake,Los Angeles,,,,,,
Crystal Lake,Crystal Lake,Los Angeles,,,,,,
Crystal lake,Crystal Lake,Los Angeles,,,,,,
Cucamonga-Guasti Regional Park,Cucamonga-Guasti Regional Park,San Bernardino,,,,,,
Cucamonga-Guasti Regional Park (Rancho Cucamonga),Cucamonga-Guasti Regional Park,San Bernardino,,,,,,
Diamond Valley,Diamond Valley Lake,Riverside,,,,,,
Diamond Valley Lake,Diamond Valley Lake,Riverside,,,,,,
Diamond Valley Resevoir,Diamond Valley Lake,Riverside,,,,,,
Don Knabe,Cerritos Park Lake / Don Knabe,Los Angeles,,,,,,
Don Knabe/ Cerritos,Cerritos Park Lake / Don Knabe,Los Angeles,,,,,,
Don Knabe/Cerritos,Cerritos Park Lake / Don Knabe,Los Angeles,,,,,,
Downey,No match,,,,,,,
Downey Wilderness Park Lake,Downey Wilderness Park Lake,Los Angeles,,,,,,
East Cabella,No match,,,,,,,
Echo,Echo Park Lake,Los Angeles,,,,,,
Echo Park,Echo Park Lake,Los Angeles,,,,,,
Echo Park Lake,Echo Park Lake,Los Angeles,,,,,,
Echo Park lake,Echo Park Lake,Los Angeles,,,,,,
Echo park Lake,Echo Park Lake,Los Angeles,,,,,,
Eisenhower Park,Eisenhower Park,Orange,,,,,,
El Dorado,El Dorado Park Lake,Los Angeles,,,,,,
El Dorado Park,El Dorado Park Lake,Los Angeles,,,,,,
El Dorado Park Lake,El Dorado Park Lake,Los Angeles,,,,,,
El Dorado Park lake,El Dorado Park Lake,Los Angeles,,,,,,
El dorado Park Lake,El Dorado Park Lake,Los Angeles,,,,,,
Fisherman retreat,Fishermans retreat,Private lake - Redlands,,,,,,
Fishermans retreat,Fishermans retreat,Private lake - Redlands,,,,,,
Ford,John Anson Ford Park Lake,Los Angeles,,,,,,
Ford Park/Bell Gardens,John Anson Ford Park Lake,Los Angeles,,,,,,
Glen Hann,Glen Helen Regional Park,San Bernardino,,,,,,
